Day,Number of Bicycle Hires,,,,,,,
7/30/2010,"6,897",,,,,,,
7/31/2010,"5,564",,,,,,,
8/1/2010,"4,303",,,,,,,
8/2/2010,"6,642",,,,,,,
8/3/2010,"7,966",,,,,,,
8/4/2010,"7,893",,,,,,,
8/5/2010,"8,724",,,,,,,
8/6/2010,"9,797",,,,,,,
8/7/2010,"6,631",,,,,,,
8/8/2010,"7,864",,,,,,,
8/9/2010,"6,191",,,,,,,
8/10/2010,"4,802",,,,,,,
8/11/2010,"14,013",,,,,,,
8/12/2010,"13,080",,,,,,,
8/13/2010,"12,151",,,,,,,
8/14/2010,"9,195",,,,,,,
8/15/2010,"10,928",,,,,,,
8/16/2010,"15,384",,,,,,,
8/17/2010,"15,396",,,,,,,
8/18/2010,"16,062",,,,,,,
8/19/2010,"17,170",,,,,,,
8/20/2010,"16,462",,,,,,,
8/21/2010,"11,719",,,,,,,
8/22/2010,"10,129",,,,,,,
8/23/2010,"12,935",,,,,,,
8/24/2010,"17,006",,,,,,,
8/25/2010,"10,062",,,,,,,
8/26/2010,"9,875",,,,,,,
8/27/2010,"12,854",,,,,,,
8/28/2010,"10,116",,,,,,,
8/29/2010,"7,811",,,,,,,
8/30/2010,"10,534",,,,,,,
8/31/2010,"17,508",,,,,,,
9/1/2010,"19,332",,,,,,,
9/2/2010,"20,909",,,,,,,
9/3/2010,"20,113",,,,,,,
9/4/2010,"14,373",,,,,,,
9/5/2010,"12,924",,,,,,,
9/6/2010,"16,841",,,,,,,
9/7/2010,"25,361",,,,,,,
9/8/2010,"18,727",,,,,,,
9/9/2010,"20,774",,,,,,,
9/10/2010,"19,532",,,,,,,
9/11/2010,"13,383",,,,,,,
9/12/2010,"14,002",,,,,,,
9/13/2010,"18,037",,,,,,,
9/14/2010,"17,026",,,,,,,
9/15/2010,"20,890",,,,,,,
9/16/2010,"20,433",,,,,,,
9/17/2010,"20,488",,,,,,,
9/18/2010,"15,495",,,,,,,
9/19/2010,"11,492",,,,,,,
9/20/2010,"20,169",,,,,,,
9/21/2010,"22,906",,,,,,,
9/22/2010,"23,905",,,,,,,
9/23/2010,"17,729",,,,,,,
9/24/2010,"18,053",,,,,,,
9/25/2010,"14,010",,,,,,,
9/26/2010,"7,890",,,,,,,
9/27/2010,"18,789",,,,,,,
9/28/2010,"21,554",,,,,,,
9/29/2010,"13,899",,,,,,,
9/30/2010,"21,823",,,,,,,
10/1/2010,"11,424",,,,,,,
10/2/2010,"10,704",,,,,,,
10/3/2010,"8,237",,,,,,,
10/4/2010,"23,688",,,,,,,
10/5/2010,"22,054",,,,,,,
10/6/2010,"20,114",,,,,,,
10/7/2010,"24,072",,,,,,,
10/8/2010,"22,886",,,,,,,
10/9/2010,"14,463",,,,,,,
10/10/2010,"14,871",,,,,,,
10/11/2010,"21,986",,,,,,,
10/12/2010,"23,016",,,,,,,
10/13/2010,"22,251",,,,,,,
10/14/2010,"21,582",,,,,,,
10/15/2010,"20,934",,,,,,,
10/16/2010,"12,735",,,,,,,
10/17/2010,"12,764",,,,,,,
10/18/2010,"20,464",,,,,,,
10/19/2010,"17,964",,,,,,,
10/20/2010,"20,750",,,,,,,
10/21/2010,"21,161",,,,,,,
10/22/2010,"20,164",,,,,,,
10/23/2010,"11,584",,,,,,,
10/24/2010,"11,259",,,,,,,
10/25/2010,"18,430",,,,,,,
10/26/2010,"13,950",,,,,,,
10/27/2010,"19,559",,,,,,,
10/28/2010,"19,995",,,,,,,
10/29/2010,"19,119",,,,,,,
10/30/2010,"13,493",,,,,,,
10/31/2010,"8,739",,,,,,,
11/1/2010,"19,785",,,,,,,
11/2/2010,"21,754",,,,,,,
11/3/2010,"27,964",,,,,,,
11/4/2010,"22,424",,,,,,,
11/5/2010,"15,815",,,,,,,
11/6/2010,"11,877",,,,,,,
11/7/2010,"9,331",,,,,,,
11/8/2010,"11,328",,,,,,,
11/9/2010,"16,026",,,,,,,
11/10/2010,"19,767",,,,,,,
11/11/2010,"12,901",,,,,,,
11/12/2010,"14,534",,,,,,,
11/13/2010,"12,123",,,,,,,
11/14/2010,"6,235",,,,,,,
11/15/2010,"18,086",,,,,,,
11/16/2010,"18,764",,,,,,,
11/17/2010,"17,005",,,,,,,
11/18/2010,"15,974",,,,,,,
11/19/2010,"18,545",,,,,,,
11/20/2010,"10,806",,,,,,,
11/21/2010,"8,356",,,,,,,
11/22/2010,"17,258",,,,,,,
11/23/2010,"17,427",,,,,,,
11/24/2010,"18,628",,,,,,,
11/25/2010,"16,822",,,,,,,
11/26/2010,"16,092",,,,,,,
11/27/2010,"7,867",,,,,,,
11/28/2010,"6,866",,,,,,,
11/29/2010,"16,681",,,,,,,
11/30/2010,"9,263",,,,,,,
12/1/2010,"9,848",,,,,,,
12/2/2010,"7,356",,,,,,,
12/3/2010,"8,264",,,,,,,
12/4/2010,"7,857",,,,,,,
12/5/2010,"8,321",,,,,,,
12/6/2010,"13,855",,,,,,,
12/7/2010,"15,033",,,,,,,
12/8/2010,"15,225",,,,,,,
12/9/2010,"16,171",,,,,,,
12/10/2010,"15,602",,,,,,,
12/11/2010,"10,328",,,,,,,
12/12/2010,"8,585",,,,,,,
12/13/2010,"14,997",,,,,,,
12/14/2010,"15,550",,,,,,,
12/15/2010,"13,412",,,,,,,
12/16/2010,"10,833",,,,,,,
12/17/2010,"10,366",,,,,,,
12/18/2010,"2,805",,,,,,,
12/19/2010,"2,764",,,,,,,
12/20/2010,"6,876",,,,,,,
12/21/2010,"7,879",,,,,,,
12/22/2010,"9,718",,,,,,,
12/23/2010,"8,867",,,,,,,
12/24/2010,"5,402",,,,,,,
12/25/2010,"5,621",,,,,,,
12/26/2010,"4,383",,,,,,,
12/27/2010,"3,971",,,,,,,
12/28/2010,"3,763",,,,,,,
12/29/2010,"7,010",,,,,,,
12/30/2010,"7,464",,,,,,,
12/31/2010,"7,448",,,,,,,
1/1/2011,"4,555",,,,,,,
1/2/2011,"6,250",,,,,,,
1/3/2011,"7,262",,,,,,,
1/4/2011,"13,430",,,,,,,
1/5/2011,"13,757",,,,,,,
1/6/2011,"9,595",,,,,,,
1/7/2011,"9,294",,,,,,,
1/8/2011,"9,338",,,,,,,
1/9/2011,"10,558",,,,,,,
1/10/2011,"16,058",,,,,,,
1/11/2011,"16,412",,,,,,,
1/12/2011,"13,894",,,,,,,
1/13/2011,"15,911",,,,,,,
1/14/2011,"14,834",,,,,,,
1/15/2011,"11,851",,,,,,,
1/16/2011,"10,471",,,,,,,
1/17/2011,"10,835",,,,,,,
1/18/2011,"17,703",,,,,,,
1/19/2011,"18,350",,,,,,,
1/20/2011,"17,957",,,,,,,
1/21/2011,"16,509",,,,,,,
1/22/2011,"10,658",,,,,,,
1/23/2011,"9,911",,,,,,,
1/24/2011,"17,193",,,,,,,
1/25/2011,"17,045",,,,,,,
1/26/2011,"16,396",,,,,,,
1/27/2011,"16,519",,,,,,,
1/28/2011,"15,538",,,,,,,
1/29/2011,"9,379",,,,,,,
1/30/2011,"9,455",,,,,,,
1/31/2011,"16,260",,,,,,,
2/1/2011,"16,331",,,,,,,
2/2/2011,"18,102",,,,,,,
2/3/2011,"15,593",,,,,,,
2/4/2011,"14,938",,,,,,,
2/5/2011,"8,442",,,,,,,
2/6/2011,"9,437",,,,,,,
2/7/2011,"16,537",,,,,,,
2/8/2011,"19,829",,,,,,,
2/9/2011,"18,197",,,,,,,
2/10/2011,"11,496",,,,,,,
2/11/2011,"16,070",,,,,,,
2/12/2011,"12,855",,,,,,,
2/13/2011,"7,034",,,,,,,
2/14/2011,"17,836",,,,,,,
2/15/2011,"15,667",,,,,,,
2/16/2011,"18,989",,,,,,,
2/17/2011,"18,938",,,,,,,
2/18/2011,"17,460",,,,,,,
2/19/2011,"6,250",,,,,,,
2/20/2011,"7,882",,,,,,,
2/21/2011,"13,720",,,,,,,
2/22/2011,"15,948",,,,,,,
2/23/2011,"12,936",,,,,,,
2/24/2011,"19,230",,,,,,,
2/25/2011,"18,634",,,,,,,
2/26/2011,"7,749",,,,,,,
2/27/2011,"8,349",,,,,,,
2/28/2011,"13,843",,,,,,,
3/1/2011,"15,774",,,,,,,
3/2/2011,"16,929",,,,,,,
3/3/2011,"16,576",,,,,,,
3/4/2011,"16,971",,,,,,,
3/5/2011,"9,847",,,,,,,
3/6/2011,"7,142",,,,,,,
3/7/2011,"16,192",,,,,,,
3/8/2011,"17,240",,,,,,,
3/9/2011,"18,494",,,,,,,
3/10/2011,"18,794",,,,,,,
3/11/2011,"19,074",,,,,,,
3/12/2011,"15,488",,,,,,,
3/13/2011,"10,526",,,,,,,
3/14/2011,"19,451",,,,,,,
3/15/2011,"19,568",,,,,,,
3/16/2011,"19,643",,,,,,,
3/17/2011,"20,036",,,,,,,
3/18/2011,"14,612",,,,,,,
3/19/2011,"17,801",,,,,,,
3/20/2011,"14,694",,,,,,,
3/21/2011,"20,710",,,,,,,
3/22/2011,"21,792",,,,,,,
3/23/2011,"23,837",,,,,,,
3/24/2011,"23,518",,,,,,,
3/25/2011,"24,343",,,,,,,
3/26/2011,"16,095",,,,,,,
3/27/2011,"17,550",,,,,,,
3/28/2011,"21,602",,,,,,,
3/29/2011,"22,080",,,,,,,
3/30/2011,"18,945",,,,,,,
3/31/2011,"20,831",,,,,,,
4/1/2011,"22,048",,,,,,,
4/2/2011,"19,829",,,,,,,
4/3/2011,"17,294",,,,,,,
4/4/2011,"20,949",,,,,,,
4/5/2011,"16,690",,,,,,,
4/6/2011,"25,597",,,,,,,
4/7/2011,"25,451",,,,,,,
4/8/2011,"26,622",,,,,,,
4/9/2011,"22,323",,,,,,,
4/10/2011,"21,346",,,,,,,
4/11/2011,"22,204",,,,,,,
4/12/2011,"23,651",,,,,,,
4/13/2011,"18,909",,,,,,,
4/14/2011,"22,346",,,,,,,
4/15/2011,"22,974",,,,,,,
4/16/2011,"19,632",,,,,,,
4/17/2011,"22,009",,,,,,,
4/18/2011,"24,032",,,,,,,
4/19/2011,"27,914",,,,,,,
4/20/2011,"27,934",,,,,,,
4/21/2011,"26,547",,,,,,,
4/22/2011,"23,719",,,,,,,
4/23/2011,"19,182",,,,,,,
4/24/2011,"21,313",,,,,,,
4/25/2011,"21,669",,,,,,,
4/26/2011,"22,038",,,,,,,
4/27/2011,"24,349",,,,,,,
4/28/2011,"23,794",,,,,,,
4/29/2011,"19,700",,,,,,,
4/30/2011,"21,574",,,,,,,
5/1/2011,"19,489",,,,,,,
5/2/2011,"18,126",,,,,,,
5/3/2011,"23,786",,,,,,,
5/4/2011,"26,183",,,,,,,
5/5/2011,"23,620",,,,,,,
5/6/2011,"28,971",,,,,,,
5/7/2011,"22,274",,,,,,,
5/8/2011,"21,011",,,,,,,
5/9/2011,"27,172",,,,,,,
5/10/2011,"29,417",,,,,,,
5/11/2011,"27,205",,,,,,,
5/12/2011,"23,461",,,,,,,
5/13/2011,"23,991",,,,,,,
5/14/2011,"21,100",,,,,,,
5/15/2011,"19,097",,,,,,,
5/16/2011,"24,620",,,,,,,
5/17/2011,"25,464",,,,,,,
5/18/2011,"23,068",,,,,,,
5/19/2011,"27,534",,,,,,,
5/20/2011,"27,523",,,,,,,
5/21/2011,"24,408",,,,,,,
5/22/2011,"19,348",,,,,,,
5/23/2011,"24,268",,,,,,,
5/24/2011,"27,768",,,,,,,
5/25/2011,"28,708",,,,,,,
5/26/2011,"18,055",,,,,,,
5/27/2011,"22,907",,,,,,,
5/28/2011,"15,693",,,,,,,
5/29/2011,"18,396",,,,,,,
5/30/2011,"16,097",,,,,,,
5/31/2011,"23,312",,,,,,,
6/1/2011,"26,054",,,,,,,
6/2/2011,"26,920",,,,,,,
6/3/2011,"26,641",,,,,,,
6/4/2011,"15,233",,,,,,,
6/5/2011,"8,420",,,,,,,
6/6/2011,"13,812",,,,,,,
6/7/2011,"22,378",,,,,,,
6/8/2011,"23,013",,,,,,,
6/9/2011,"25,061",,,,,,,
6/10/2011,"20,141",,,,,,,
6/11/2011,"21,059",,,,,,,
6/12/2011,"6,061",,,,,,,
6/13/2011,"23,978",,,,,,,
6/14/2011,"28,889",,,,,,,
6/15/2011,"25,643",,,,,,,
6/16/2011,"17,566",,,,,,,
6/17/2011,"15,723",,,,,,,
6/18/2011,"13,721",,,,,,,
6/19/2011,"17,092",,,,,,,
6/20/2011,"20,101",,,,,,,
6/21/2011,"26,780",,,,,,,
6/22/2011,"22,745",,,,,,,
6/23/2011,"24,559",,,,,,,
6/24/2011,"22,137",,,,,,,
6/25/2011,"17,944",,,,,,,
6/26/2011,"23,483",,,,,,,
6/27/2011,"26,243",,,,,,,
6/28/2011,"21,950",,,,,,,
6/29/2011,"28,073",,,,,,,
6/30/2011,"27,297",,,,,,,
7/1/2011,"27,758",,,,,,,
7/2/2011,"22,764",,,,,,,
7/3/2011,"21,423",,,,,,,
7/4/2011,"27,332",,,,,,,
7/5/2011,"24,802",,,,,,,
7/6/2011,"26,207",,,,,,,
7/7/2011,"20,483",,,,,,,
7/8/2011,"19,485",,,,,,,
7/9/2011,"21,360",,,,,,,
7/10/2011,"20,203",,,,,,,
7/11/2011,"26,355",,,,,,,
7/12/2011,"26,633",,,,,,,
7/13/2011,"25,417",,,,,,,
7/14/2011,"26,479",,,,,,,
7/15/2011,"27,114",,,,,,,
7/16/2011,"10,224",,,,,,,
7/17/2011,"10,965",,,,,,,
7/18/2011,"18,541",,,,,,,
7/19/2011,"21,218",,,,,,,
7/20/2011,"21,580",,,,,,,
7/21/2011,"20,951",,,,,,,
7/22/2011,"25,172",,,,,,,
7/23/2011,"20,264",,,,,,,
7/24/2011,"22,464",,,,,,,
7/25/2011,"25,185",,,,,,,
7/26/2011,"25,636",,,,,,,
7/27/2011,"24,989",,,,,,,
7/28/2011,"26,759",,,,,,,
7/29/2011,"25,373",,,,,,,
7/30/2011,"23,930",,,,,,,
7/31/2011,"21,388",,,,,,,
8/1/2011,"22,940",,,,,,,
8/2/2011,"24,290",,,,,,,
8/3/2011,"26,120",,,,,,,
8/4/2011,"15,149",,,,,,,
8/5/2011,"26,792",,,,,,,
8/6/2011,"20,485",,,,,,,
8/7/2011,"14,912",,,,,,,
8/8/2011,"23,489",,,,,,,
8/9/2011,"23,011",,,,,,,
8/10/2011,"24,182",,,,,,,
8/11/2011,"20,573",,,,,,,
8/12/2011,"22,971",,,,,,,
8/13/2011,"20,731",,,,,,,
8/14/2011,"21,115",,,,,,,
8/15/2011,"23,657",,,,,,,
8/16/2011,"24,899",,,,,,,
8/17/2011,"23,010",,,,,,,
8/18/2011,"16,139",,,,,,,
8/19/2011,"25,444",,,,,,,
8/20/2011,"17,334",,,,,,,
8/21/2011,"21,836",,,,,,,
8/22/2011,"25,222",,,,,,,
8/23/2011,"10,953",,,,,,,
8/24/2011,"22,883",,,,,,,
8/25/2011,"20,026",,,,,,,
8/26/2011,"12,368",,,,,,,
8/27/2011,"14,045",,,,,,,
8/28/2011,"15,908",,,,,,,
8/29/2011,"17,443",,,,,,,
8/30/2011,"21,477",,,,,,,
8/31/2011,"23,036",,,,,,,
9/1/2011,"25,110",,,,,,,
9/2/2011,"25,981",,,,,,,
9/3/2011,"24,578",,,,,,,
9/4/2011,"14,967",,,,,,,
9/5/2011,"21,776",,,,,,,
9/6/2011,"13,863",,,,,,,
9/7/2011,"22,746",,,,,,,
9/8/2011,"23,679",,,,,,,
9/9/2011,"23,957",,,,,,,
9/10/2011,"20,069",,,,,,,
9/11/2011,"17,719",,,,,,,
9/12/2011,"21,572",,,,,,,
9/13/2011,"23,962",,,,,,,
9/14/2011,"25,824",,,,,,,
9/15/2011,"25,803",,,,,,,
9/16/2011,"25,567",,,,,,,
9/17/2011,"15,147",,,,,,,
9/18/2011,"17,327",,,,,,,
9/19/2011,"23,708",,,,,,,
9/20/2011,"23,676",,,,,,,
9/21/2011,"22,730",,,,,,,
9/22/2011,"24,601",,,,,,,
9/23/2011,"25,114",,,,,,,
9/24/2011,"22,113",,,,,,,
9/25/2011,"21,211",,,,,,,
9/26/2011,"20,527",,,,,,,
9/27/2011,"24,841",,,,,,,
9/28/2011,"28,434",,,,,,,
9/29/2011,"29,039",,,,,,,
9/30/2011,"29,139",,,,,,,
10/1/2011,"27,129",,,,,,,
10/2/2011,"26,906",,,,,,,
10/3/2011,"27,559",,,,,,,
10/4/2011,"26,131",,,,,,,
10/5/2011,"26,263",,,,,,,
10/6/2011,"25,083",,,,,,,
10/7/2011,"24,529",,,,,,,
10/8/2011,"18,154",,,,,,,
10/9/2011,"17,643",,,,,,,
10/10/2011,"24,198",,,,,,,
10/11/2011,"26,184",,,,,,,
10/12/2011,"26,323",,,,,,,
10/13/2011,"25,149",,,,,,,
10/14/2011,"26,542",,,,,,,
10/15/2011,"23,663",,,,,,,
10/16/2011,"18,530",,,,,,,
10/17/2011,"23,892",,,,,,,
10/18/2011,"23,791",,,,,,,
10/19/2011,"23,259",,,,,,,
10/20/2011,"23,157",,,,,,,
10/21/2011,"23,253",,,,,,,
10/22/2011,"20,482",,,,,,,
10/23/2011,"18,560",,,,,,,
10/24/2011,"22,842",,,,,,,
10/25/2011,"22,771",,,,,,,
10/26/2011,"17,621",,,,,,,
10/27/2011,"19,360",,,,,,,
10/28/2011,"23,158",,,,,,,
10/29/2011,"18,228",,,,,,,
10/30/2011,"15,443",,,,,,,
10/31/2011,"22,999",,,,,,,
11/1/2011,"22,747",,,,,,,
11/2/2011,"23,724",,,,,,,
11/3/2011,"18,676",,,,,,,
11/4/2011,"18,774",,,,,,,
11/5/2011,"16,434",,,,,,,
11/6/2011,"14,317",,,,,,,
11/7/2011,"20,365",,,,,,,
11/8/2011,"19,231",,,,,,,
11/9/2011,"22,542",,,,,,,
11/10/2011,"23,475",,,,,,,
11/11/2011,"21,140",,,,,,,
11/12/2011,"18,933",,,,,,,
11/13/2011,"17,744",,,,,,,
11/14/2011,"19,913",,,,,,,
11/15/2011,"22,245",,,,,,,
11/16/2011,"21,639",,,,,,,
11/17/2011,"22,802",,,,,,,
11/18/2011,"22,461",,,,,,,
11/19/2011,"18,706",,,,,,,
11/20/2011,"14,829",,,,,,,
11/21/2011,"20,824",,,,,,,
11/22/2011,"20,341",,,,,,,
11/23/2011,"21,855",,,,,,,
11/24/2011,"21,870",,,,,,,
11/25/2011,"21,598",,,,,,,
11/26/2011,"15,803",,,,,,,
11/27/2011,"14,362",,,,,,,
11/28/2011,"20,167",,,,,,,
11/29/2011,"18,718",,,,,,,
11/30/2011,"20,956",,,,,,,
12/1/2011,"16,481",,,,,,,
12/2/2011,"19,146",,,,,,,
12/3/2011,"13,776",,,,,,,
12/4/2011,"10,276",,,,,,,
12/5/2011,"18,176",,,,,,,
12/6/2011,"18,943",,,,,,,
12/7/2011,"19,279",,,,,,,
12/8/2011,"17,313",,,,,,,
12/9/2011,"18,421",,,,,,,
12/10/2011,"11,864",,,,,,,
12/11/2011,"8,368",,,,,,,
12/12/2011,"16,554",,,,,,,
12/13/2011,"17,111",,,,,,,
12/14/2011,"17,543",,,,,,,
12/15/2011,"17,081",,,,,,,
12/16/2011,"11,778",,,,,,,
12/17/2011,"8,925",,,,,,,
12/18/2011,"7,485",,,,,,,
12/19/2011,"11,270",,,,,,,
12/20/2011,"15,685",,,,,,,
12/21/2011,"14,158",,,,,,,
12/22/2011,"15,099",,,,,,,
12/23/2011,"9,131",,,,,,,
12/24/2011,"4,890",,,,,,,
12/25/2011,"17,998",,,,,,,
12/26/2011,"10,953",,,,,,,
12/27/2011,"8,076",,,,,,,
12/28/2011,"9,888",,,,,,,
12/29/2011,"8,368",,,,,,,
12/30/2011,"6,900",,,,,,,
12/31/2011,"7,793",,,,,,,
1/1/2012,"5,171",,,,,,,
1/2/2012,"9,091",,,,,,,
1/3/2012,"10,094",,,,,,,
1/4/2012,"13,936",,,,,,,
1/5/2012,"14,191",,,,,,,
1/6/2012,"17,713",,,,,,,
1/7/2012,"12,556",,,,,,,
1/8/2012,"10,487",,,,,,,
1/9/2012,"19,472",,,,,,,
1/10/2012,"20,548",,,,,,,
1/11/2012,"20,958",,,,,,,
1/12/2012,"20,879",,,,,,,
1/13/2012,"19,691",,,,,,,
1/14/2012,"13,843",,,,,,,
1/15/2012,"12,149",,,,,,,
1/16/2012,"19,136",,,,,,,
1/17/2012,"20,170",,,,,,,
1/18/2012,"17,972",,,,,,,
1/19/2012,"15,441",,,,,,,
1/20/2012,"18,703",,,,,,,
1/21/2012,"13,339",,,,,,,
1/22/2012,"12,845",,,,,,,
1/23/2012,"20,193",,,,,,,
1/24/2012,"13,269",,,,,,,
1/25/2012,"20,836",,,,,,,
1/26/2012,"19,515",,,,,,,
1/27/2012,"20,775",,,,,,,
1/28/2012,"13,272",,,,,,,
1/29/2012,"10,949",,,,,,,
1/30/2012,"18,955",,,,,,,
1/31/2012,"18,176",,,,,,,
2/1/2012,"18,208",,,,,,,
2/2/2012,"16,916",,,,,,,
2/3/2012,"16,185",,,,,,,
2/4/2012,"8,348",,,,,,,
2/5/2012,"3,531",,,,,,,
2/6/2012,"15,202",,,,,,,
2/7/2012,"17,722",,,,,,,
2/8/2012,"16,442",,,,,,,
2/9/2012,"16,363",,,,,,,
2/10/2012,"15,117",,,,,,,
2/11/2012,"9,912",,,,,,,
2/12/2012,"8,020",,,,,,,
2/13/2012,"13,172",,,,,,,
2/14/2012,"17,946",,,,,,,
2/15/2012,"19,396",,,,,,,
2/16/2012,"19,505",,,,,,,
2/17/2012,"19,444",,,,,,,
2/18/2012,"9,463",,,,,,,
2/19/2012,"12,655",,,,,,,
2/20/2012,"18,802",,,,,,,
2/21/2012,"20,861",,,,,,,
2/22/2012,"18,112",,,,,,,
2/23/2012,"23,391",,,,,,,
2/24/2012,"22,067",,,,,,,
2/25/2012,"19,349",,,,,,,
2/26/2012,"17,646",,,,,,,
2/27/2012,"20,936",,,,,,,
2/28/2012,"23,423",,,,,,,
2/29/2012,"23,692",,,,,,,
3/1/2012,"25,116",,,,,,,
3/2/2012,"21,928",,,,,,,
3/3/2012,"17,697",,,,,,,
3/4/2012,"5,062",,,,,,,
3/5/2012,"19,342",,,,,,,
3/6/2012,"21,102",,,,,,,
3/7/2012,"17,096",,,,,,,
3/8/2012,"24,123",,,,,,,
3/9/2012,"23,609",,,,,,,
3/10/2012,"24,721",,,,,,,
3/11/2012,"27,758",,,,,,,
3/12/2012,"28,856",,,,,,,
3/13/2012,"27,528",,,,,,,
3/14/2012,"28,296",,,,,,,
3/15/2012,"29,969",,,,,,,
3/16/2012,"26,452",,,,,,,
3/17/2012,"13,391",,,,,,,
3/18/2012,"19,184",,,,,,,
3/19/2012,"28,391",,,,,,,
3/20/2012,"30,817",,,,,,,
3/21/2012,"31,175",,,,,,,
3/22/2012,"31,135",,,,,,,
3/23/2012,"33,635",,,,,,,
3/24/2012,"35,091",,,,,,,
3/25/2012,"28,607",,,,,,,
3/26/2012,"32,368",,,,,,,
3/27/2012,"34,563",,,,,,,
3/28/2012,"36,539",,,,,,,
3/29/2012,"35,954",,,,,,,
3/30/2012,"35,666",,,,,,,
3/31/2012,"23,038",,,,,,,
4/1/2012,"30,513",,,,,,,
4/2/2012,"32,142",,,,,,,
4/3/2012,"25,956",,,,,,,
4/4/2012,"27,912",,,,,,,
4/5/2012,"24,383",,,,,,,
4/6/2012,"22,354",,,,,,,
4/7/2012,"16,848",,,,,,,
4/8/2012,"15,717",,,,,,,
4/9/2012,"6,214",,,,,,,
4/10/2012,"24,898",,,,,,,
4/11/2012,"29,345",,,,,,,
4/12/2012,"25,772",,,,,,,
4/13/2012,"27,673",,,,,,,
4/14/2012,"26,193",,,,,,,
4/15/2012,"10,188",,,,,,,
4/16/2012,"28,188",,,,,,,
4/17/2012,"20,105",,,,,,,
4/18/2012,"16,651",,,,,,,
4/19/2012,"18,759",,,,,,,
4/20/2012,"22,730",,,,,,,
4/21/2012,"22,014",,,,,,,
4/22/2012,"19,707",,,,,,,
4/23/2012,"19,262",,,,,,,
4/24/2012,"27,522",,,,,,,
4/25/2012,"12,737",,,,,,,
4/26/2012,"21,740",,,,,,,
4/27/2012,"24,263",,,,,,,
4/28/2012,"7,827",,,,,,,
4/29/2012,"9,951",,,,,,,
4/30/2012,"31,909",,,,,,,
5/1/2012,"24,523",,,,,,,
5/2/2012,"28,381",,,,,,,
5/3/2012,"23,768",,,,,,,
5/4/2012,"25,503",,,,,,,
5/5/2012,"16,009",,,,,,,
5/6/2012,"17,160",,,,,,,
5/7/2012,"15,227",,,,,,,
5/8/2012,"28,585",,,,,,,
5/9/2012,"21,758",,,,,,,
5/10/2012,"26,164",,,,,,,
5/11/2012,"31,385",,,,,,,
5/12/2012,"30,699",,,,,,,
5/13/2012,"28,778",,,,,,,
5/14/2012,"23,344",,,,,,,
5/15/2012,"18,409",,,,,,,
5/16/2012,"31,453",,,,,,,
5/17/2012,"31,219",,,,,,,
5/18/2012,"30,945",,,,,,,
5/19/2012,"28,474",,,,,,,
5/20/2012,"22,286",,,,,,,
5/21/2012,"30,905",,,,,,,
5/22/2012,"36,720",,,,,,,
5/23/2012,"40,486",,,,,,,
5/24/2012,"42,008",,,,,,,
5/25/2012,"41,357",,,,,,,
5/26/2012,"39,358",,,,,,,
5/27/2012,"38,781",,,,,,,
5/28/2012,"40,872",,,,,,,
5/29/2012,"37,962",,,,,,,
5/30/2012,"38,803",,,,,,,
5/31/2012,"35,630",,,,,,,
6/1/2012,"34,524",,,,,,,
6/2/2012,"25,283",,,,,,,
6/3/2012,"12,207",,,,,,,
6/4/2012,"22,649",,,,,,,
6/5/2012,"15,537",,,,,,,
6/6/2012,"30,297",,,,,,,
6/7/2012,"23,066",,,,,,,
6/8/2012,"22,224",,,,,,,
6/9/2012,"29,258",,,,,,,
6/10/2012,"20,876",,,,,,,
6/11/2012,"10,252",,,,,,,
6/12/2012,"23,742",,,,,,,
6/13/2012,"34,447",,,,,,,
6/14/2012,"31,593",,,,,,,
6/15/2012,"30,944",,,,,,,
6/16/2012,"26,300",,,,,,,
6/17/2012,"28,531",,,,,,,
6/18/2012,"31,089",,,,,,,
6/19/2012,"37,601",,,,,,,
6/20/2012,"39,267",,,,,,,
6/21/2012,"27,052",,,,,,,
6/22/2012,"33,027",,,,,,,
6/23/2012,"26,900",,,,,,,
6/24/2012,"23,509",,,,,,,
6/25/2012,"36,337",,,,,,,
6/26/2012,"37,652",,,,,,,
6/27/2012,"36,767",,,,,,,
6/28/2012,"39,571",,,,,,,
6/29/2012,"35,321",,,,,,,
6/30/2012,"32,982",,,,,,,
7/1/2012,"27,438",,,,,,,
7/2/2012,"24,963",,,,,,,
7/3/2012,"27,163",,,,,,,
7/4/2012,"32,433",,,,,,,
7/5/2012,"40,565",,,,,,,
7/6/2012,"24,723",,,,,,,
7/7/2012,"24,782",,,,,,,
7/8/2012,"15,855",,,,,,,
7/9/2012,"30,523",,,,,,,
7/10/2012,"29,723",,,,,,,
7/11/2012,"30,544",,,,,,,
7/12/2012,"24,736",,,,,,,
7/13/2012,"28,875",,,,,,,
7/14/2012,"17,999",,,,,,,
7/15/2012,"29,938",,,,,,,
7/16/2012,"24,218",,,,,,,
7/17/2012,"36,788",,,,,,,
7/18/2012,"29,841",,,,,,,
7/19/2012,"37,032",,,,,,,
7/20/2012,"31,187",,,,,,,
7/21/2012,"34,776",,,,,,,
7/22/2012,"38,620",,,,,,,
7/23/2012,"42,309",,,,,,,
7/24/2012,"45,748",,,,,,,
7/25/2012,"45,024",,,,,,,
7/26/2012,"46,891",,,,,,,
7/27/2012,"42,815",,,,,,,
7/28/2012,"44,617",,,,,,,
7/29/2012,"26,352",,,,,,,
7/30/2012,"41,891",,,,,,,
7/31/2012,"35,805",,,,,,,
8/1/2012,"41,603",,,,,,,
8/2/2012,"43,183",,,,,,,
